date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:12	7464/7464	---MCZ	200	added ('OK')	text/html	etag:W/%22e57bb6de992f516948abcde2f66fd6c9%22	https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import	(from )
18:09:12	1284/1284	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2227310c3eee87f9a5f3502af39b8c42ea%22	https://app.datablist.com/robots.txt		(from )
18:09:13	268237/268237	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2001%20Apr%202025%2012:09:17%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/connect.facebook.net/en_US/fbevents.js	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
18:09:13	16366/16366	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f8c619815d9385e2722216528d931461%22	https://tag.clearbitscripts.com/v1/pk_71cc79486a768741fdac8d3d6300792b/tags.js	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/tag.clearbitscripts.com/v1/pk_71cc79486a768741fdac8d3d6300792b/tags.js	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
18:09:14	81734/81734	---MCZ	200	added ('OK')	text/css	etag:W/%22edf92a8503e1f2bb1bfc8c34608caa87%22	https://app.datablist.com/_next/static/css/52b579abe2eeaeac.css	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/app.datablist.com/_next/static/css/52b579abe2eeaeac.css	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
18:09:14	387/387	---M--	200	added ('OK')	text/css	etag:%2201946952db420ec703850dae82558568%22	https://app.datablist.com/_next/static/css/96714b743b89e1d3.css	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/app.datablist.com/_next/static/css/96714b743b89e1d3.css	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
18:09:15	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://app.datablist.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/app.datablist.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
18:09:15	7884/7884	---MCZ	200	added ('OK')	application/javascript	etag:W/%226002b0fe8bb076d613cf23fbf3bd76c8%22	https://app.datablist.com/_next/static/chunks/webpack-47241b52a2192b28.js	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/app.datablist.com/_next/static/chunks/webpack-47241b52a2192b28.js	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
18:09:15	141048/141048	---MCZ	200	added ('OK')	application/javascript	etag:W/%223018474bc5ba6344220c20e79fcdcfd0%22	https://app.datablist.com/_next/static/chunks/framework-c71612ee5f7f3308.js	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/app.datablist.com/_next/static/chunks/framework-c71612ee5f7f3308.js	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
18:09:16	125516/125516	---MCZ	200	added ('OK')	application/javascript	etag:W/%2277585ab97cc7fcf201b4d5efae01221e%22	https://app.datablist.com/_next/static/chunks/main-5bd4855fbcee95e8.js	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/app.datablist.com/_next/static/chunks/main-5bd4855fbcee95e8.js	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
18:09:17	2014566/2014566	---MCZ	200	added ('OK')	application/javascript	etag:W/%223d8d816942493be80e8b12fa5443b5e3%22	https://app.datablist.com/_next/static/chunks/pages/_app-c2f793794355fd67.js	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/app.datablist.com/_next/static/chunks/pages/_app-c2f793794355fd67.js	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
18:09:17	2477/2477	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a4919cf8dc4d9ea723f29254b3e9e88%22	https://app.datablist.com/_next/static/chunks/c7773329-4b7ef4b8d65357f6.js	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/app.datablist.com/_next/static/chunks/c7773329-4b7ef4b8d65357f6.js	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
18:09:17	2785/2785	---MCZ	200	added ('OK')	application/javascript	etag:W/%2237d3aaaf9b551abc19a891695ad5360c%22	https://app.datablist.com/_next/static/chunks/17007de1-a73f399dd2dba1bd.js	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/app.datablist.com/_next/static/chunks/17007de1-a73f399dd2dba1bd.js	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
18:09:18	389852/389852	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210ff49252a8d9fcd98773935db2d89de%22	https://app.datablist.com/_next/static/chunks/f6665f30-7e176530d876d583.js	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/app.datablist.com/_next/static/chunks/f6665f30-7e176530d876d583.js	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
18:09:18	56210/56210	---MCZ	200	added ('OK')	application/javascript	etag:W/%2221201fb56cce769799a428f6afbdd866%22	https://app.datablist.com/_next/static/chunks/74-ac28c1c571a1ed79.js	C:/Users/Zomon/Desktop/HTTrack%20Website%20Copier/l/app.datablist.com/_next/static/chunks/74-ac28c1c571a1ed79.js	(from https://app.datablist.com/d/HoqyG0Jlc8kybpgiJBCj/32b10b45cbf44ad49740/import)
